"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.71636363636E+008, -1.24219710144E+000, +0.00000000000E+000
+4.74909090909E+008, -1.25353934881E+000, +0.00000000000E+000
+4.78181818182E+008, -1.26952458091E+000, +0.00000000000E+000
+4.81454545455E+008, -1.29092164846E+000, +0.00000000000E+000
+4.84727272727E+008, -1.31641777945E+000, +0.00000000000E+000
+4.88000000000E+008, -1.34544364667E+000, +0.00000000000E+000
+4.91272727273E+008, -1.37703285363E+000, +0.00000000000E+000
+4.94545454545E+008, -1.41184123789E+000, +0.00000000000E+000
+4.97818181818E+008, -1.44868250049E+000, +0.00000000000E+000
+5.01090909091E+008, -1.48349149142E+000, +0.00000000000E+000
+5.04363636364E+008, -1.51074115226E+000, +0.00000000000E+000
+5.07636363636E+008, -1.53275479157E+000, +0.00000000000E+000
+5.10909090909E+008, -1.54899728676E+000, +0.00000000000E+000
+5.14181818182E+008, -1.56342290189E+000, +0.00000000000E+000
+5.17454545455E+008, -1.57777088232E+000, +0.00000000000E+000
+5.20727272727E+008, -1.58991753921E+000, +0.00000000000E+000
+5.24000000000E+008, -1.59899590572E+000, +0.00000000000E+000
+5.27272727273E+008, -1.60570248843E+000, +0.00000000000E+000
+5.30545454545E+008, -1.61105248264E+000, +0.00000000000E+000
+5.33818181818E+008, -1.61595935145E+000, +0.00000000000E+000
+5.37090909091E+008, -1.61987894647E+000, +0.00000000000E+000
+5.40363636364E+008, -1.62538840565E+000, +0.00000000000E+000
+5.43636363636E+008, -1.63282087854E+000, +0.00000000000E+000
+5.46909090909E+008, -1.64335095791E+000, +0.00000000000E+000
+5.50181818182E+008, -1.65688442658E+000, +0.00000000000E+000
+5.53454545455E+008, -1.67015449789E+000, +0.00000000000E+000
+5.56727272727E+008, -1.68811710534E+000, +0.00000000000E+000
+5.60000000000E+008, -1.71251246148E+000, +0.00000000000E+000
+5.63272727273E+008, -1.73925720641E+000, +0.00000000000E+000
+5.66545454545E+008, -1.75902425290E+000, +0.00000000000E+000
+5.69818181818E+008, -1.78395248600E+000, +0.00000000000E+000
+5.73090909091E+008, -1.81337377086E+000, +0.00000000000E+000
+5.76363636364E+008, -1.84541452442E+000, +0.00000000000E+000
+5.79636363636E+008, -1.87863798662E+000, +0.00000000000E+000
+5.82909090909E+008, -1.91198804944E+000, +0.00000000000E+000
+5.86181818182E+008, -1.94568442521E+000, +0.00000000000E+000
+5.89454545455E+008, -1.97971393118E+000, +0.00000000000E+000
+5.92727272727E+008, -2.01235613689E+000, +0.00000000000E+000
+5.96000000000E+008, -2.04282751311E+000, +0.00000000000E+000
+5.99272727273E+008, -2.07076189260E+000, +0.00000000000E+000
+6.02545454545E+008, -2.10122177954E+000, +0.00000000000E+000
+6.05818181818E+008, -2.13003678066E+000, +0.00000000000E+000
+6.09090909091E+008, -2.15502107916E+000, +0.00000000000E+000
+6.12363636364E+008, -2.17552489814E+000, +0.00000000000E+000
+6.15636363636E+008, -2.19084834075E+000, +0.00000000000E+000
+6.18909090909E+008, -2.20198637746E+000, +0.00000000000E+000
+6.22181818182E+008, -2.21147788572E+000, +0.00000000000E+000
+6.25454545455E+008, -2.22248099771E+000, +0.00000000000E+000
+6.28727272727E+008, -2.23763503929E+000, +0.00000000000E+000
+6.32000000000E+008, -2.24980319028E+000, +0.00000000000E+000
+6.35272727273E+008, -2.24293909182E+000, +0.00000000000E+000
+6.38545454545E+008, -2.23980267992E+000, +0.00000000000E+000
+6.41818181818E+008, -2.24843128838E+000, +0.00000000000E+000
+6.45090909091E+008, -2.26412201237E+000, +0.00000000000E+000
+6.48363636364E+008, -2.28676117178E+000, +0.00000000000E+000
+6.51636363636E+008, -2.31746620505E+000, +0.00000000000E+000
+6.54909090909E+008, -2.35511605457E+000, +0.00000000000E+000
