"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.00000000000E+008, -1.50302846065E-001, +0.00000000000E+000
+4.01454545455E+008, -1.53032443901E-001, +0.00000000000E+000
+4.02909090909E+008, -1.55088763751E-001, +0.00000000000E+000
+4.04363636364E+008, -1.56956503868E-001, +0.00000000000E+000
+4.05818181818E+008, -1.58888678149E-001, +0.00000000000E+000
+4.07272727273E+008, -1.60191024569E-001, +0.00000000000E+000
+4.08727272727E+008, -1.61540920187E-001, +0.00000000000E+000
+4.10181818182E+008, -1.62545235518E-001, +0.00000000000E+000
+4.11636363636E+008, -1.62968845474E-001, +0.00000000000E+000
+4.13090909091E+008, -1.63448545542E-001, +0.00000000000E+000
+4.14545454545E+008, -1.63873002463E-001, +0.00000000000E+000
+4.16000000000E+008, -1.64085301784E-001, +0.00000000000E+000
+4.17454545455E+008, -1.63878537483E-001, +0.00000000000E+000
+4.18909090909E+008, -1.63662881928E-001, +0.00000000000E+000
+4.20363636364E+008, -1.63305225921E-001, +0.00000000000E+000
+4.21818181818E+008, -1.62543213206E-001, +0.00000000000E+000
+4.23272727273E+008, -1.62118905258E-001, +0.00000000000E+000
+4.24727272727E+008, -1.61836424424E-001, +0.00000000000E+000
+4.26181818182E+008, -1.61184248694E-001, +0.00000000000E+000
+4.27636363636E+008, -1.60474015610E-001, +0.00000000000E+000
+4.29090909091E+008, -1.60011467925E-001, +0.00000000000E+000
+4.30545454545E+008, -1.59408133762E-001, +0.00000000000E+000
+4.32000000000E+008, -1.59538583778E-001, +0.00000000000E+000
+4.33454545455E+008, -1.59245840131E-001, +0.00000000000E+000
+4.34909090909E+008, -1.59335692259E-001, +0.00000000000E+000
+4.36363636364E+008, -1.59533124757E-001, +0.00000000000E+000
+4.37818181818E+008, -1.59785204745E-001, +0.00000000000E+000
+4.39272727273E+008, -1.60607903094E-001, +0.00000000000E+000
+4.40727272727E+008, -1.61141148724E-001, +0.00000000000E+000
+4.42181818182E+008, -1.61910986616E-001, +0.00000000000E+000
+4.43636363636E+008, -1.63495602324E-001, +0.00000000000E+000
+4.45090909091E+008, -1.65259898478E-001, +0.00000000000E+000
+4.46545454545E+008, -1.67560462831E-001, +0.00000000000E+000
+4.48000000000E+008, -1.69470672116E-001, +0.00000000000E+000
+4.49454545455E+008, -1.72589521238E-001, +0.00000000000E+000
+4.50909090909E+008, -1.76015401267E-001, +0.00000000000E+000
+4.52363636364E+008, -1.79322886134E-001, +0.00000000000E+000
+4.53818181818E+008, -1.82137794644E-001, +0.00000000000E+000
+4.55272727273E+008, -1.86127058541E-001, +0.00000000000E+000
+4.56727272727E+008, -1.89902834804E-001, +0.00000000000E+000
+4.58181818182E+008, -1.94345576028E-001, +0.00000000000E+000
+4.59636363636E+008, -1.99420698460E-001, +0.00000000000E+000
+4.61090909091E+008, -2.04572313732E-001, +0.00000000000E+000
+4.62545454545E+008, -2.09930102288E-001, +0.00000000000E+000
+4.64000000000E+008, -2.15049367564E-001, +0.00000000000E+000
+4.65454545455E+008, -2.19192282278E-001, +0.00000000000E+000
+4.66909090909E+008, -2.23904520928E-001, +0.00000000000E+000
+4.68363636364E+008, -2.28534884193E-001, +0.00000000000E+000
+4.69818181818E+008, -2.34119345971E-001, +0.00000000000E+000
+4.71272727273E+008, -2.39042768684E-001, +0.00000000000E+000
+4.72727272727E+008, -2.44250263137E-001, +0.00000000000E+000
+4.74181818182E+008, -2.50018104363E-001, +0.00000000000E+000
+4.75636363636E+008, -2.55610945267E-001, +0.00000000000E+000
+4.77090909091E+008, -2.61234297155E-001, +0.00000000000E+000
+4.78545454545E+008, -2.66897810629E-001, +0.00000000000E+000
+4.80000000000E+008, -2.72673461313E-001, +0.00000000000E+000
+4.81454545455E+008, -2.78599601515E-001, +0.00000000000E+000
+4.82909090909E+008, -2.83695796077E-001, +0.00000000000E+000
+4.84363636364E+008, -2.89500822598E-001, +0.00000000000E+000
+4.85818181818E+008, -2.95220554076E-001, +0.00000000000E+000
+4.87272727273E+008, -3.00142560344E-001, +0.00000000000E+000
