"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.00000000000E+008, -2.34103993643E+001, +0.00000000000E+000
+2.03272727273E+008, -2.32210141331E+001, +0.00000000000E+000
+2.06545454545E+008, -2.30086426306E+001, +0.00000000000E+000
+2.09818181818E+008, -2.27772154281E+001, +0.00000000000E+000
+2.13090909091E+008, -2.25245726566E+001, +0.00000000000E+000
+2.16363636364E+008, -2.22627347961E+001, +0.00000000000E+000
+2.19636363636E+008, -2.20041039547E+001, +0.00000000000E+000
+2.22909090909E+008, -2.17569997188E+001, +0.00000000000E+000
+2.26181818182E+008, -2.15321745500E+001, +0.00000000000E+000
+2.29454545455E+008, -2.13361231994E+001, +0.00000000000E+000
+2.32727272727E+008, -2.11754498857E+001, +0.00000000000E+000
+2.36000000000E+008, -2.10521523741E+001, +0.00000000000E+000
+2.39272727273E+008, -2.09652206901E+001, +0.00000000000E+000
+2.42545454545E+008, -2.09060278179E+001, +0.00000000000E+000
+2.45818181818E+008, -2.08663133493E+001, +0.00000000000E+000
+2.49090909091E+008, -2.08422665266E+001, +0.00000000000E+000
+2.52363636364E+008, -2.08223254603E+001, +0.00000000000E+000
+2.55636363636E+008, -2.07985866949E+001, +0.00000000000E+000
+2.58909090909E+008, -2.07642235590E+001, +0.00000000000E+000
+2.62181818182E+008, -2.07145010333E+001, +0.00000000000E+000
+2.65454545455E+008, -2.06531202403E+001, +0.00000000000E+000
+2.68727272727E+008, -2.05747904442E+001, +0.00000000000E+000
+2.72000000000E+008, -2.04591352508E+001, +0.00000000000E+000
+2.75272727273E+008, -2.03137023752E+001, +0.00000000000E+000
+2.78545454545E+008, -2.01697695159E+001, +0.00000000000E+000
+2.81818181818E+008, -2.00390178923E+001, +0.00000000000E+000
+2.85090909091E+008, -1.98434634562E+001, +0.00000000000E+000
+2.88363636364E+008, -1.96498545108E+001, +0.00000000000E+000
+2.91636363636E+008, -1.94860595418E+001, +0.00000000000E+000
+2.94909090909E+008, -1.93077699008E+001, +0.00000000000E+000
+2.98181818182E+008, -1.91385222038E+001, +0.00000000000E+000
+3.01454545455E+008, -1.89827962742E+001, +0.00000000000E+000
+3.04727272727E+008, -1.88406202994E+001, +0.00000000000E+000
+3.08000000000E+008, -1.87117507730E+001, +0.00000000000E+000
+3.11272727273E+008, -1.85951498368E+001, +0.00000000000E+000
+3.14545454545E+008, -1.84887822808E+001, +0.00000000000E+000
+3.17818181818E+008, -1.83895422292E+001, +0.00000000000E+000
+3.21090909091E+008, -1.82940269204E+001, +0.00000000000E+000
